2016 Rank,,Armada,Hungrybox,Mango,Mew2King,Leffen,Plup,SFAT,Westballz,Axe,Shroomed,Swedish Delight,Wizzrobe,Ice,PewPewU,Duck,S2J,Nintendude,n0ne,Lucky,Silent Wolf,The Moon,ChuDat,DruggedFox,Professor Pro,Colbol,MacD,dizzkidboogie,MikeHaze,KirbyKaze,Wobbles,Zhu,aMSa,Laudandus,KJH,Gahtzu,Chillin,Javi,HugS,Bladewise,Abate,Gravy,Prince Abu,Santiago,Trif,Captain Faceroll,Connor,Infinite Numbers,Ryan Ford,Crush,Mafia,Slox,Rudolph,OverTriforce,lloD,Kels,Amsah,Cactuar,Zgetto,Rishi,Android,Captain Smuckers,DJ Nintendo,Zain,Syrox,Squid,Ka-Master,Medz,ARMY,SET COUNT VS. ALL,SET COUNT VS. >26,SET COUNT VS. 11-25,SET COUNT VS. 6-10,SET COUNT VS. 1-5
25,Colbol,,0-11,,0-5,,0-16,,0-1,0-1,1-0,,2-0,0-2,0-1,,0-2,,,1-1,,1-0,,0-2,,X,,3-1,,1-0,,,,,,29-2,,,,,2-1,,,,,1-0,,,0-2,0-4,,0-2,,,,1-0,,,,1-1,,1-0,,1-0,0-4,,,,,45 - 59,40 - 17,4 - 8,1 - 18,0 - 16
26,MacD,,,,0-1,0-1,,1-5,0-1,,,,,,0-1,,0-2,1-0,0-2,0-4,,0-1,,1-0,,,X,,0-1,0-1,,,,,,,1-1,,2-2,,,,,,,5-1,2-1,,,0-2,,0-1,,,,1-0,,,,,,0-5,,,1-0,4-1,,,3-0,22 - 33,19 - 15,2 - 10,1 - 6,0 - 2
27,dizzkidboogie,0-1,0-2,,,,0-1,2-4,,,,0-3,1-0,1-0,0-1,1-0,0-2,3-1,3-0,1-0,,,,,,1-3,,X,1-0,0-1,,,,1-0,1-0,0-1,0-1,,,0-2,,,,,0-1,,,,,0-1,,1-0,,,,,1-0,1-0,,1-0,,2-4,5-0,,,4-1,,1-0,,31 - 37,19 - 12,10 - 7,2 - 5,0 - 3
28,MikeHaze,,,0-1,0-2,,,1-0,6-4,,,2-0,,,0-1,,0-4,1-1,,1-3,,,0-1,0-2,,,1-0,0-1,X,0-1,,,,,0-1,1-0,,,3-4,0-2,,,,,,1-0,1-0,,1-0,1-0,,,,,,,,1-0,,1-0,,1-0,,,1-0,0-1,,,12-2,36 - 31,25 - 12,4 - 12,7 - 4,0 - 3
29,KirbyKaze,,0-1,,0-1,0-2,,,,,,1-2,,,,0-3,,1-0,,,,0-1,0-1,0-1,0-2,0-1,1-0,1-0,1-0,X,,,,,2-2,,,,,,,,2-2,,,,1-0,,12-12,1-0,,1-0,,,,,,,,,1-0,1-1,1-0,,,,,,,27 - 32,25 - 17,2 - 11,0 - 0,0 - 4
30,Wobbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0
31,Zhu,,,,0-1,,,,,,,,,,,,,0-1,,,,,0-1,0-1,,,,,,,,X,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 - 4,1 - 0,0 - 3,0 - 0,0 - 1
32,aMSa,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,0-1,1-0,,,,,,,,, 2-0*,1-0,,,1-0,,,,,,,,,,,,,,,,,5 - 2,5 - 1,0 - 0,0 - 0,0 - 1
33,Laudandus,,,,,,,0-1,,,,,0-2,,0-2,,,2-2,1-1,0-1,,,,,,,,0-1,,,,,,X,,,,,1-0,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,1-0,,,1-0,7 - 10,4 - 1,3 - 8,0 - 1,0 - 0
34,KJH,0-2,0-1,,0-2,,,,0-2,0-1,,3-1,,0-2,,7-5,,,,0-1,,0-1,,,0-2,,,0-1,1-0,2-2,,,,,X,1-0,1-0,,,,,,2-0,,,,,,1-3,0-1,,,,,1-0,1-0,,,,,1-0,2-0,,0-1,,,,,,21 - 28,11 - 8,10 - 12,0 - 3,0 - 5
